infection with ebola zaire strain in humans,hypersecretion of numerous pro-inflammatory cytokines,"The highly fatal outcome of infection with Ebola Zaire strain in humans had been associated with aberrant innate responses, characterized by CS, with hypersecretion of numerous pro-inflammatory cytokines, chemokines and growth factors.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
the innate or acute inflammatory component,a predominance of infiltrating neutrophils,The innate or acute inflammatory component is associated with a predominance of infiltrating neutrophils.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a set of important cuts in the financing of public health,the lack of hospital beds,The lack of hospital beds has been attributed to a set of important cuts in the financing of public health over the last years that also result in a reduction of hospital beds both in general and in the intensive care units on the whole territory.,"['attribute,verb,nsubjpass,y', 'attribute,verb,prep,to', 'to,adp,pobj,x']"
a specific individual,infections,The number of secondary infections caused by a specific individual throughout the time that the individual is infectious is called the ''individual reproductive number'' [14] .,"['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
a single primary case,transmissions,"The number of secondary transmissions produced by a single primary case has been shown to be highly variable, 10 11 and, in fact, based on contact tracing efforts, several superspreaders during the Korean outbreak have been linked to multiple secondary cases that comprise large nosocomial clusters.","['y,noun,acl,produce', 'produce,verb,agent,by', 'by,adp,pobj,x']"
a preferential labeling by the anterograde transsynaptic virus of indirect pathway msns,the observed results,"The observed results could be due to a preferential labeling by the anterograde transsynaptic virus of indirect pathway MSNs in this experiment, which then synapse onto the GP, thereby reflecting a viral bias.","['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adp,prep,to', 'to,adp,pobj,x']"
the occurrence of crs,an increased risk of mortality,The occurrence of CRS was associated with an increased risk of mortality (p = 0.017).,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
an unknown pathogen subsequently identified,the outbreak of respiratory illness,"The outbreak of respiratory illness, now known as coronavirus disease (COVID-19), caused by an unknown pathogen subsequently identified as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) was first reported in Wuhan, China on 31 December 2019 [1] .","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
the overproduction,age spots,"The overproduction and accumulation of melanin causes  age spots, freckles, melisma, and hyperpigmentation.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
the overproduction and accumulation,age spots,"The overproduction and accumulation of melanin causes  age spots, freckles, melisma, and hyperpigmentation.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
the overproduction,"age spots, freckles","The overproduction and accumulation of melanin causes  age spots, freckles, melisma, and hyperpigmentation.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
the overproduction,"age spots, freckles, melisma","The overproduction and accumulation of melanin causes  age spots, freckles, melisma, and hyperpigmentation.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
the overproduction,"age spots, freckles, melisma, and hyperpigmentation","The overproduction and accumulation of melanin causes  age spots, freckles, melisma, and hyperpigmentation.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
a primary case,cases,"The parameter R 0 is the basic reproduction number as usually defined; that is, the number of secondary cases created by a primary case in a totally susceptible population and in the absence of intervention.","['y,noun,acl,create', 'create,verb,agent,by', 'by,adp,pobj,x']"
the pcv,a >25% decrease in streptococcal pneumonia,"The PCV has been associated with a >25% decrease in streptococcal pneumonia, as well as lowering the risk of invasive pneumococcal disease and of pneumonia caused by antibiotics-resistant pneumococcal strain.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a primary alcohol,the peak at 1043.3cm in the ga spectrum,The peak at 1043.3cm in the GA spectrum might be due to a primary alcohol and its shift to 1064 cm was due to a hydrogen bonding interaction between GA and GGAA.,"['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adp,prep,to', 'to,adp,pobj,x']"
its shift to 1064 cm,the peak at 1043.3cm in the ga spectrum,The peak at 1043.3cm in the GA spectrum might be due to a primary alcohol and its shift to 1064 cm was due to a hydrogen bonding interaction between GA and GGAA.,"['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adp,prep,to', 'to,adp,pobj,x']"
a primary alcohol and its shift to 1064 cm,the peak at 1043.3cm in the ga spectrum,The peak at 1043.3cm in the GA spectrum might be due to a primary alcohol and its shift to 1064 cm was due to a hydrogen bonding interaction between GA and GGAA.,"['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adp,prep,to', 'to,adp,pobj,x']"
a hydrogen bonding interaction between ga,the peak at 1043.3cm in the ga spectrum,The peak at 1043.3cm in the GA spectrum might be due to a primary alcohol and its shift to 1064 cm was due to a hydrogen bonding interaction between GA and GGAA.,"['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adj,prep,to', 'to,adp,pobj,x']"
such an event,the possible viral advantage,The possible viral advantage resulting from such an event is discussed (Table 3) .,"['y,noun,acl,result', 'result,verb,prep,from', 'from,adp,pobj,x']"
the presence of influenza viruses in general,an increased risk for colonization by s. aureus as as,"The presence of influenza viruses in general was associated with an increased risk for colonization by S. aureus as well as S. pneumoniae, both of which are also supported by observations during flu pandemics.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
the middle east,the recent outbreak of mers coronavirus in korea,The recent outbreak of MERS coronavirus in Korea was also caused by a returnee from the Middle East.,"['cause,verb,nsubjpass,y', 'cause,verb,agent,by', 'by,adp,pobj,x']"
the middle east,a returnee,The recent outbreak of MERS coronavirus in Korea was also caused by a returnee from the Middle East.,"['y,noun,prep,from', 'from,adp,pobj,x']"
irf1 binding sites in the irg1 locus,active chromatin marks,"The results show that, in the human monocyte lineage,  IRF1 binding sites in the IRG1 locus  are associated with   active chromatin marks, such as H3K4me1 and H3K27ac, which mark active/poised enhancers and which could represent putative IRF1 binding sites responsible for IRG1 expression.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
an h5n1 influenza strain,the risk of a devastating human influenza pandemic,The risk of a devastating human influenza pandemic caused by an H5N1 influenza strain remains difficult to quantify.,"['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
the s phase tardiness,an altered dna replication,"The S phase tardiness may be associated with an altered DNA replication, since several MCM proteins, which are components of DNA helicase, were upregulated (Table 1 ).","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
the use of lna,the superior performance of mss,"The superior performance of MSS can be attributed to the use of LNA to capture the correlations between epidemic compartments throughout the simulated outbreak, and to the state updating procedure employed by MSS.","['attribute,verb,nsubjpass,y', 'attribute,verb,prep,to', 'to,adp,pobj,x']"
liberia,the evd outbreak in nigeria,"The tree confirms that  the EVD outbreak in Nigeria was due to a single introduction from Liberia, as suggested by contact tracing.","['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adj,prep,to', 'to,adp,pobj,x']"
liberia,a single introduction,"The tree confirms that  the EVD outbreak in Nigeria was due to a single introduction from Liberia, as suggested by contact tracing.","['y,noun,prep,from', 'from,adp,pobj,x']"
the nationwide measles incidence,an increase of 10,Their meta-analyses showed that the nationwide measles incidence was significantly associated with an increase of 10 Âµg/m 3 in PM 2.5 levels.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
activated defense responses,it,"Therefore, it is possible that the poor viral infection in knokedown plants was due to activated defense responses.","['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adj,prep,to', 'to,adp,pobj,x']"
activated defense responses,the poor viral infection in knokedown plants,"Therefore, it is possible that the poor viral infection in knokedown plants was due to activated defense responses.","['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adj,prep,to', 'to,adp,pobj,x']"
different enteric pathogens,similar clinical features,"Therefore, the diagnosis of swine diarrhea has become increasingly complicated and due to sharing similar clinical features caused by different enteric pathogens, an accurate differential diagnosis can only be achieved via laboratory tests.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
the exposure of viruses to the complex microbial environment,accelerated pathogen destruction beyond the effects of temperature,"Therefore, the exposure of viruses to the complex microbial environment and  decomposition by-products of compost is associated with  accelerated pathogen destruction beyond the effects of temperature.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
cypa,the inflammatory infiltration,These data suggest that CyPA is associated with the inflammatory infiltration and alveolar bone destruction of periodontitis.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
cypa,alveolar bone destruction of periodontitis,These data suggest that CyPA is associated with the inflammatory infiltration and alveolar bone destruction of periodontitis.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
activation,intracellular down regulation,"intracellular down regulation is caused by  activation and elevation of the suppressor regulator Mad1, different transcription factors that regulates hTERT promoter might be involved.","['cause,verb,nsubjpass,y', 'cause,verb,agent,by', 'by,adp,pobj,x']"
activation and elevation,intracellular down regulation,"intracellular down regulation is caused by  activation and elevation of the suppressor regulator Mad1, different transcription factors that regulates hTERT promoter might be involved.","['cause,verb,nsubjpass,y', 'cause,verb,agent,by', 'by,adp,pobj,x']"
an index case,cases,"These events occur when variability between individuals, environmental effects or an interaction between the two results in a highly skewed distribution for the number of secondary cases caused by an index case.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
g6pd deficiency,an improvement in insulin resistance,"These G6PD-deficient mice exhibit glucose and insulin tolerance as well as reduced insulin signaling, suggesting that G6PD deficiency is associated with an improvement in insulin resistance.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a single-dose inoculation of mice,high levels of serum antibody response,These results demonstrate that a single-dose inoculation of mice with rVSV co-expressing prM-E/E truncations triggered high levels of serum antibody response as early as 1-2 weeks post-inoculation.,"['trigger,verb,nsubj,x', 'trigger,verb,dobj,y']"
rvsv co-expressing prm-e/e truncations,high levels of serum antibody response,These results demonstrate that a single-dose inoculation of mice with rVSV co-expressing prM-E/E truncations triggered high levels of serum antibody response as early as 1-2 weeks post-inoculation.,"['trigger,verb,nsubj,x', 'trigger,verb,dobj,y']"
a specific molecular barrier,the dependency on virus-host pair,"They may reflect (i) poorly studied cases, which leads to partial information regarding the virus and its hosts ; and (ii) cases where the dependency on virus-host pair is stronger because of a specific molecular barrier that restricts the host range.","['be,aux,nsubj,y', 'be,aux,prep,because', 'because,sconj,pobj,x']"
a pneumonia diagnosis,the risk,"Thirdly, taking COVID-19 diagnosis context into account, the risk resulting from a pneumonia diagnosis is much lower than for a COVID-19 diagnosis.","['y,noun,acl,result', 'result,verb,prep,from', 'from,adp,pobj,x']"
an accidental release of recombinant influenza,a global pandemic,"This concern evolved to encompass biosafety concerns that an accidental release of recombinant influenza could cause a global pandemic (Lipsitch and Galvani, 2014; Lipsitch and Inglesby, 2014; Evans et al., 2015) .","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
lethal disease,severe pulmonary lesions,"This conclusion is further supported by non-human primate and mouse models of SARS-CoV infection, where  lethal disease is more often associated with  severe pulmonary lesions ,  alveolar exudates and  respiratory dysfunction than with high viral load.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
lethal disease,alveolar exudates and,"This conclusion is further supported by non-human primate and mouse models of SARS-CoV infection, where  lethal disease is more often associated with  severe pulmonary lesions ,  alveolar exudates and  respiratory dysfunction than with high viral load.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
lethal disease,respiratory dysfunction than with high viral load,"This conclusion is further supported by non-human primate and mouse models of SARS-CoV infection, where  lethal disease is more often associated with  severe pulmonary lesions ,  alveolar exudates and  respiratory dysfunction than with high viral load.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
lethal disease,"severe pulmonary lesions ,  alveolar exudates and  respiratory dysfunction than with high viral load","This conclusion is further supported by non-human primate and mouse models of SARS-CoV infection, where  lethal disease is more often associated with  severe pulmonary lesions ,  alveolar exudates and  respiratory dysfunction than with high viral load.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a number of reasons,this enrichment,"This enrichment may be due to a number of reasons: first of all, the survival and proliferation of hematopoietic cell-derived stem cells are absolutely M-CSF dependent 24 .","['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adp,prep,to', 'to,adp,pobj,x']"
a number of reasons,the survival,"This enrichment may be due to a number of reasons: first of all, the survival and proliferation of hematopoietic cell-derived stem cells are absolutely M-CSF dependent 24 .","['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adp,prep,to', 'to,adp,pobj,x']"
a number of reasons,the survival and proliferation,"This enrichment may be due to a number of reasons: first of all, the survival and proliferation of hematopoietic cell-derived stem cells are absolutely M-CSF dependent 24 .","['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adp,prep,to', 'to,adp,pobj,x']"
monosodium urate crystals,similar to the damp cascade,"This is similar to the DAMP cascade caused by monosodium urate crystals, an original candidate model for aluminum mode of action, and helps to explain conflicting results for urate crystals and aluminum salt adjuvants.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
an index case,cases,"This model, proposed by White & Pagano [11] , relies on the assumption that  the number of secondary cases caused by an index case is Poisson distributed with expected value","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
an over-amplified host inflammatory response,functional deterioration,"Thus, administration with these drugs may mitigate immune-mediated lung injury and reduce functional deterioration caused by an over-amplified host inflammatory response.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
infectious rsv cell entry,activation of egfr,"Thus, we concluded that infectious RSV cell entry and endocytosis were associated with activation of EGFR and its downstream signaling partners including PI3K and PKC.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
infectious rsv cell entry and endocytosis,activation of egfr,"Thus, we concluded that infectious RSV cell entry and endocytosis were associated with activation of EGFR and its downstream signaling partners including PI3K and PKC.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
this effect,a reduction of inflammatory cells recruitment,TLR3 mice showed a longer survival when compared wild-type animals and this effect was associated with a reduction of inflammatory cells recruitment and lower levels of inflammatory factors in the respiratory tract.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
13 serotypes of ptv,a variety of clinical diseases,"To date, 13 serotypes of PTV have been associated with a variety of clinical diseases.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a partial misalignment of short reads,an identification of a non-mirna small rna,"To minimize the possibility that an identification of a non-miRNA small RNA was due to a partial misalignment of short reads that originated from very abundant RNAs sharing high sequence similarities, we located all genomic regions with high sequence similarity to each putative small RNA locus.","['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adj,prep,to', 'to,adp,pobj,x']"
the weekly effective reproduction number,individual,"To quantify variation in transmission strength over time, we estimated the weekly effective reproduction number, defined as the average number of secondary infections caused bya single infected individual .","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
aids,the number of new infections and deaths,Topical microbicides that prevent HIV-1 transmission could dramatically reduce the number of new infections and deaths resulting from AIDS each year.,"['y,noun,acl,result', 'result,verb,prep,from', 'from,adp,pobj,x']"
aids,new infections,Topical microbicides that prevent HIV-1 transmission could dramatically reduce the number of new infections and deaths resulting from AIDS each year.,"['y,noun,acl,result', 'result,verb,prep,from', 'from,adp,pobj,x']"
treatment with sm21,a 20% or 5% reduction in monocyte viability,"Treatment with SM21 or amphotericin B caused, respectively, a 20% or 5% reduction in monocyte viability compared with the controls.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
ulcers,acute/chronic inflammatory cell infiltration in submucosa,Ulcers will be associated with acute/chronic inflammatory cell infiltration in submucosa.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a relatively high level of ros,redox imbalance,"Until now, it has been widely recognized that a relatively high level of ROS causes redox imbalance, leading to the induction of cell apoptosis or necrosis under various physiological and pathological conditions [57] .","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
an acute infection,disorders,"Upper respiratory tract infections (URTIs) are disorders caused by an acute infection, commonly involving the nose, sinuses, pharynx or larynx.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
r elapse,an increase of vzv-positive pbmcs,"Using flow cytometry, the authors were also able to show that r elapse was associated with an increase of VZV-positive PBMCs when compared to patients in remission or controls.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
ang ii administration,an increase in blood pressure,effectively  mitigated an increase in blood pressure caused by Ang II administration.,"['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
a typical person infected at time t.,infections,"ventions and the depletion of the susceptible population can be captured with the effective reproductive number R(t), which is the number of secondary infections caused by a typical person infected at time t.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
viral infections,an exacerbation event,Viral infections were more strongly associated with an exacerbation event than with frequent exacerbations.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
an overlap with the vp1b orf,such high conservation in this region,We believe that such high conservation in this region was caused by an overlap with the VP1b ORF.,"['cause,verb,nsubjpass,y', 'cause,verb,agent,by', 'by,adp,pobj,x']"
a typical primary case,cases,"We selected a period of exponential growth in the epidemic curve to calculated R0, which was defined as the expected number of secondary cases produced by a typical primary case.","['y,noun,acl,produce', 'produce,verb,agent,by', 'by,adp,pobj,x']"
a single individual,cases,"While mostly a preventive measure to identify cases before complications, it directly informs us about potential secondary cases caused by a single individual, and therefore provides us with an estimate for G 1 (","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
the immune control of the majority of gut nematodes,a t-helper cell 2,While the immune control of the majority of gut nematodes is associated with a T-helper cell 2 (Th2),"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a peptide sequence within np-43-53,protection seen in her experiment,Wilson reported that protection seen in her experiment was due to a peptide sequence within NP-43-53.,"['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adj,prep,to', 'to,adp,pobj,x']"
window pane condensation,infection rhinitis,"Window pane condensation was associated with infection rhinitis, allergic rhinitis and antibiotic medication for respiratory infections.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
tobacco smoking,many chronic pulmonary diseases,"Tobacco smoking is a strong risk factor for many chronic pulmonary diseases, and current smoking itself has been associated with a relative risk for ON of 3.9-4.7.","['be,aux,nsubj,x', 'be,aux,attr,a strong risk factor', 'a strong risk factor,noun,prep,for', 'for,adp,pobj,y']"
current smoking itself,a relative risk for on of 3.9-4.7,"Tobacco smoking is a strong risk factor for many chronic pulmonary diseases, and current smoking itself has been associated with a relative risk for ON of 3.9-4.7.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
kd,an inflammatory process,"KD is invariably associated with an inflammatory process, with elevation of ESR, CRP and white cell count.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
kd,elevation of esr,"KD is invariably associated with an inflammatory process, with elevation of ESR, CRP and white cell count.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a single infected individual,the number of new cases,"Temperature may change people's behavior, and thus change the number of new cases caused by a single infected individual.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
diabetes,a threefold increased risk of developing tb,"Diabetes is associated with a threefold increased risk of developing TB, and increased risk of death or treatment failure in TB.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
adverse events,a comparison between the dropout rates,A comparison between the dropout rates caused by adverse events will be undertaken using the Pearson's 2 test.,"['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
a greater infecting dose,a shorter incubation period,A greater infecting dose may be associated with a shorter incubation period and increased severity.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a greater infecting dose,a shorter incubation period and increased severity,A greater infecting dose may be associated with a shorter incubation period and increased severity.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a higher r 0 value of 1.8,an even smaller reduction in the attack rate,A higher R 0 value of 1.8 is associated with an even smaller reduction in the attack rate.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a patient,an effective number of direct infections,An effective number of direct infections caused by a patient,"['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
a number of inhibitory molecules,activated astrocytes,A number of inhibitory molecules have been associated with  activated astrocytes and their secreted products such as  proteoglycans and Tenascin-C.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a number of inhibitory molecules,their secreted products,A number of inhibitory molecules have been associated with  activated astrocytes and their secreted products such as  proteoglycans and Tenascin-C.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a one-base deletion,a frame-shift mutation in orf10 of zxc21,A one-base deletion caused a frame-shift mutation in ORF10 of ZXC21,"['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
an increased number of tam,a shortened survival in classical hodgkin's lymphoma patients,A recent experiment showed that  an increased number of TAM was strongly associated with a shortened survival in classical Hodgkin's lymphoma patients.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
an apparently new species of ebov,a recent outbreak,A recent outbreak caused by an apparently new species of EBOV in Uganda appears to be less pathogenic than SEBOV or ZEBOV with a preliminary case fatality rate of about 25%.,"['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
early tracheostomy,a reduction of mechanical ventilation duration,"A recent systematic review suggested that early tracheostomy, performed in the first 7 days after orotracheal intubation, is associated with a reduction of mechanical ventilation duration, mortality rate and length of stay in ICU irrespective of reason for admission.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a recently discovered subtype of regulated necrosis,accumulation of ros,"A recently discovered subtype of regulated necrosis, called ferroptosis, is associated with accumulation of ROS in an iron-dependent manner, loss of GSH, and excessive lipid peroxidation.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a significantly large variety of coronavirus species,a diverse range of diseases,"A significantly large variety of coronavirus species cause a diverse range of diseases in domesticated and wild mammals and birds, and these animals may also be carriers of and reservoirs for coronaviruses.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
a single infection,future cases distributed according to the probability distribution of the generation interval,A single infection will cause  future cases distributed according to the probability distribution of the generation interval.,"['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
a slight drop in mean temperature,a peak in hpiv-1,"A slight drop in mean temperature and a significant increase in mean relative humidity, from May to October is associated with a peak in HPIV-1.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
may,a significant increase in mean relative humidity,"A slight drop in mean temperature and a significant increase in mean relative humidity, from May to October is associated with a peak in HPIV-1.","['y,noun,prep,from', 'from,adp,pobj,x']"
may,a slight drop in mean temperature,"A slight drop in mean temperature and a significant increase in mean relative humidity, from May to October is associated with a peak in HPIV-1.","['y,noun,prep,from', 'from,adp,pobj,x']"
a variety of environmental stresses,sg formation,"A variety of environmental stresses, including viral infection, can trigger SG formation in eukaryotic cells.","['trigger,verb,nsubj,x', 'trigger,verb,dobj,y']"
an interaction between a virus,a viral disease,"A viral disease is the result of an interaction between a virus and the host, in which the genetic background plays a role.","['be,aux,nsubj,y', 'be,aux,attr,the result', 'the result,noun,prep,of', 'of,adp,pobj,x']"
abundance in the lung,screening of respiratory viruses,Abundance in the lung  has  prompted screening of respiratory viruses for TMPRSS2 activation of their glycoproteins.,"['prompt,verb,nsubj,x', 'prompt,verb,dobj,y']"
a single mutation in epitope,the antigenic change,"According to our algorithm, the reasons why CE-BLAST may detect the antigenic change caused by a single mutation in epitope, cover at least 3 aspects.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
a flood in sichuan,31 deaths,"According to statistics, a flood in Sichuan in 2011 caused 31 deaths and 160 injuries.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
a flood in sichuan,31 deaths and 160 injuries,"According to statistics, a flood in Sichuan in 2011 caused 31 deaths and 160 injuries.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
an infected individual,the average number of new infections,"Accordingly, one can interpret R 0 as the average number of new infections caused by an infected individual in a susceptible population.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
accumulation of ileal,significant injury,Accumulation of ileal bile acids causes significant injury in the small intestine and acts in concert with TLR4 pathway.,"['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
bile acids,significant injury,Accumulation of ileal bile acids causes significant injury in the small intestine and acts in concert with TLR4 pathway.,"['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
acidification of the endosome,the subsequent acidi fication of viral lumen,"Acidification of the endosome causes the subsequent acidi fication of viral lumen via the IAV M2 proton channel, which in turn promotes the dissociation of M1 layer from both the viral envelope and the viral ribonucleoprotein complex.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
both the viral envelope,the dissociation of m1 layer,"Acidification of the endosome causes the subsequent acidi fication of viral lumen via the IAV M2 proton channel, which in turn promotes the dissociation of M1 layer from both the viral envelope and the viral ribonucleoprotein complex.","['y,noun,prep,from', 'from,adp,pobj,x']"
the viral ribonucleoprotein complex,the dissociation of m1 layer,"Acidification of the endosome causes the subsequent acidi fication of viral lumen via the IAV M2 proton channel, which in turn promotes the dissociation of M1 layer from both the viral envelope and the viral ribonucleoprotein complex.","['y,noun,prep,from', 'from,adp,pobj,x']"
acquired hps,"a variety of viral, bacterial and mycobacterial, fungal, and parasitic infections","Acquired HPS has also been associated with a variety of viral, bacterial and mycobacterial, fungal, and parasitic infections, autoimmune diseases, auto-inflammatory syndromes, and tumours, particularly T cell malignancies.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
actin modifications at the cell surface,membrane ruffling and macropinosome internalization,"Actin modifications at the cell surface then cause membrane ruffling and macropinosome internalization, in addition to filopodia that can facilitate spike proteinreceptor interactions with neighboring cells.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
activation of rnase-l,a conformational change,Activation of RNase-L may then cause a conformational change that induces its release from FLNA.,"['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
flna,its release,Activation of RNase-L may then cause a conformational change that induces its release from FLNA.,"['y,noun,prep,from', 'from,adp,pobj,x']"
active cortical lesions,meningeal inflammation,"Active cortical lesions are associated with meningeal inflammation, which, in its most severe form, may reflect inflammatory cell aggregates with features of tertiary lymph follicles.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
active cortical lesions,features of tertiary lymph follicles,"Active cortical lesions are associated with meningeal inflammation, which, in its most severe form, may reflect inflammatory cell aggregates with features of tertiary lymph follicles.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
active hsv1 infection,severe damage,Active HSV1 infection causes severe damage and usually leads to cell death.,"['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
acute ethanol administration,prominent hepatic microvesicular steatosis with mild necrosis,"Acute ethanol administration caused prominent hepatic microvesicular steatosis with mild necrosis and an elevation of serum ALT activity, induced a significant decrease in hepatic glutathione in conjunction with enhanced lipid peroxidation (oxidative stress) and increased hepatic TNF (necrosis factor-alpha) production.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
acute promyelocytic leukemia,consumption coagulopathy,Acute promyelocytic leukemia causes consumption coagulopathy due to lone activation of TF path.,"['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
